"Story","Title","Result","Date","Stability","Duration (s)"
"Show current shipments","List open shipments with 1 shipment","SUCCESS","2017-03-14T17:13:27.965Z","0.0","6.86"
"Show current shipments","List open shipments with 5 shipments","PENDING","2017-03-14T17:13:18.141Z","0.0","0.01"
"Show current shipments","List open shipments without shipments","SUCCESS","2017-03-14T17:13:18.150Z","0.0","9.81"
