"Story","Title","Result","Date","Stability","Duration (s)"
"Create shipment ordered by phone","Create a new shipment based on minimal required information","PENDING","2016-12-03T19:36:15.861Z","0.0","0.09"
"Search for shipments by customer","Display a message if the search string does not match any case","PENDING","2016-12-03T19:36:16.427Z","0.0","0.02"
"Show list of tasks for current user","Display a message if there is no task assigned to current user","PENDING","2016-12-03T19:36:16.169Z","0.0","0.02"
"Show list of tasks for current user","List all tasks assigned to current user","PENDING","2016-12-03T19:36:16.126Z","0.0","0.04"
"Show current shipments","List open shipments with 5 shipments","PENDING","2016-12-03T19:36:16.503Z","0.0","0.02"
"Search for shipments by customer","Search for shipments by exact customer name","PENDING","2016-12-03T19:36:16.328Z","0.0","0.02"
"Search for shipments by customer","Search for shipments by substrings of customer name","PENDING","2016-12-03T19:36:16.386Z","0.0","0.04"
"Show details of a shipment","Show the details of a shipment","PENDING","2016-12-03T19:36:16.252Z","0.0","0.03"
