"Story","Title","Result","Date","Stability","Duration (s)"
"Search for shipments by customer","Display a message if the search string does not match any case","PENDING","2018-05-11T12:16:16.489Z","0.0","0.04"
"Show current shipments","List open shipments with 5 shipments","PENDING","2018-05-11T12:16:16.685Z","0.0","0.02"
"Search for shipments by customer","Search for shipments by exact customer name","PENDING","2018-05-11T12:16:16.424Z","0.0","0.03"
"Search for shipments by customer","Search for shipments by substrings of customer name","PENDING","2018-05-11T12:16:16.461Z","0.0","0.03"
