"Story","Title","Result","Date","Stability","Duration (s)"
"Search for shipments by customer","Display a message if the search string does not match any case","PENDING","2018-05-09T08:07:13.074Z","0.0","0.13"
"Show current shipments","List open shipments with 1 shipment","SUCCESS","2018-05-09T08:07:23.491Z","0.0","11.23"
"Show current shipments","List open shipments with 5 shipments","PENDING","2018-05-09T08:07:13.477Z","0.0","0.08"
"Show current shipments","List open shipments without shipments","SUCCESS","2018-05-09T08:07:13.577Z","0.0","9.81"
"Search for shipments by customer","Search for shipments by exact customer name","PENDING","2018-05-09T08:07:12.913Z","0.0","0.08"
"Search for shipments by customer","Search for shipments by substrings of customer name","PENDING","2018-05-09T08:07:12.999Z","0.0","0.06"
