"Story","Title","Result","Date","Stability","Duration (s)"
"Create shipment ordered by phone","Create a new shipment based on minimal required information","PENDING","2018-07-03T08:39:54.043Z","0.0","0.23"
"Create shipment ordered by phone","Create a new shipment with all information","PENDING","2018-07-03T08:39:54.413Z","0.0","0.27"
