"Story","Title","Result","Date","Stability","Duration (s)"
"Search for shipments by customer","Display a message if the search string does not match any case","PENDING","2018-05-15T09:10:15.275Z","0.0","0.05"
"Show current shipments","List open shipments with 1 shipment","SUCCESS","2018-05-15T09:10:23.935Z","0.0","10.91"
"Show current shipments","List open shipments with 5 shipments","PENDING","2018-05-15T09:10:15.570Z","0.0","0.04"
"Show current shipments","List open shipments without shipments","SUCCESS","2018-05-15T09:10:15.617Z","0.0","8.2"
"Search for shipments by customer","Search for shipments by exact customer name","PENDING","2018-05-15T09:10:15.182Z","0.0","0.03"
"Search for shipments by customer","Search for shipments by substrings of customer name","PENDING","2018-05-15T09:10:15.227Z","0.0","0.04"
