"Story","Title","Result","Date","Stability","Duration (s)"
"Search for shipments by customer","Display a message if the search string does not match any case","PENDING","2017-01-20T07:43:07.445Z","0.0","0.02"
"Show current shipments","List open shipments with 1 shipment","SUCCESS","2017-01-20T07:43:15.905Z","0.0","6.74"
"Show current shipments","List open shipments with 5 shipments","PENDING","2017-01-20T07:43:07.474Z","0.0","0.02"
"Show current shipments","List open shipments without shipments","SUCCESS","2017-01-20T07:43:07.490Z","0.0","8.41"
"Search for shipments by customer","Search for shipments by exact customer name","PENDING","2017-01-20T07:43:07.396Z","0.0","0.02"
"Search for shipments by customer","Search for shipments by substrings of customer name","PENDING","2017-01-20T07:43:07.418Z","0.0","0.03"
