"Story","Title","Result","Date","Stability","Duration (s)"
"Create shipment ordered by phone","Create a new shipment based on minimal required information","PENDING","2017-05-17T15:05:15.027Z","0.0","0.35"
"Create shipment ordered by phone","Create a new shipment with all information","PENDING","2017-05-17T15:05:15.549Z","0.0","0.21"
