"Story","Title","Result","Date","Stability","Duration (s)"
"Search for shipments by customer","Display a message if the search string does not match any case","PENDING","2017-03-14T16:50:24.396Z","0.0","0.02"
"Show current shipments","List open shipments with 5 shipments","PENDING","2017-03-14T16:50:24.436Z","0.0","0.02"
"Search for shipments by customer","Search for shipments by exact customer name","PENDING","2017-03-14T16:50:24.347Z","0.0","0.02"
"Search for shipments by customer","Search for shipments by substrings of customer name","PENDING","2017-03-14T16:50:24.363Z","0.0","0.03"
