"Story","Title","Result","Date","Stability","Duration (s)"
"Search for shipments by customer","Display a message if the search string does not match any case","PENDING","2017-02-03T06:24:46.737Z","0.0","0.02"
"Show current shipments","List open shipments with 1 shipment","SUCCESS","2017-02-03T06:24:58.228Z","0.0","9.1"
"Show current shipments","List open shipments with 5 shipments","PENDING","2017-02-03T06:24:46.770Z","0.0","0.02"
"Show current shipments","List open shipments without shipments","SUCCESS","2017-02-03T06:24:46.794Z","0.0","11.43"
"Search for shipments by customer","Search for shipments by exact customer name","PENDING","2017-02-03T06:24:46.684Z","0.0","0.02"
"Search for shipments by customer","Search for shipments by substrings of customer name","PENDING","2017-02-03T06:24:46.706Z","0.0","0.03"
