"Story","Title","Result","Date","Stability","Duration (s)"
"Search for shipments by customer","Display a message if the search string does not match any case","PENDING","2017-05-17T13:07:54.054Z","0.0","0.07"
"Search for shipments by customer","Search for shipments by exact customer name","PENDING","2017-05-17T13:07:53.964Z","0.0","0.05"
"Search for shipments by customer","Search for shipments by substrings of customer name","PENDING","2017-05-17T13:07:54.016Z","0.0","0.04"
