"Story","Title","Result","Date","Stability","Duration (s)"
"Search for shipments by customer","Display a message if the search string does not match any case","PENDING","2018-04-23T14:34:37.243Z","0.0","0.09"
"Show current shipments","List open shipments with 1 shipment","SUCCESS","2018-04-23T14:34:45.969Z","0.0","8.48"
"Show current shipments","List open shipments with 5 shipments","PENDING","2018-04-23T14:34:37.563Z","0.0","0.05"
"Show current shipments","List open shipments without shipments","SUCCESS","2018-04-23T14:34:37.611Z","0.0","8.28"
"Search for shipments by customer","Search for shipments by exact customer name","PENDING","2018-04-23T14:34:37.110Z","0.0","0.05"
"Search for shipments by customer","Search for shipments by substrings of customer name","PENDING","2018-04-23T14:34:37.175Z","0.0","0.07"
